scenario,route,grouping,window_ms,order_index,req_id,prefix_type,group_key,schedule_wait_ms,prompt_tokens,prefix_tokens,reused_tokens,reuse_hit,model_latency_s,total_latency_s,output_tokens,throughput_tokens_per_s
fifo_w0,route1,fifo,0,0,1,A,fifo_1,0.000,18,18,0,0,4.090579,4.090579,128,31.291411
fifo_w0,route1,fifo,0,1,2,A,fifo_2,0.000,21,21,0,0,4.093759,4.093759,128,31.267108
fifo_w0,route1,fifo,0,2,3,A,fifo_3,0.000,21,21,0,0,4.081970,4.081970,128,31.357408
fifo_w0,route1,fifo,0,3,4,A,fifo_4,0.000,23,23,0,0,4.094279,4.094279,128,31.263138
fifo_w0,route1,fifo,0,4,5,A,fifo_5,0.000,20,20,0,0,4.071692,4.071692,128,31.436560
fifo_w0,route1,fifo,0,5,6,A,fifo_6,0.000,23,23,0,0,4.071538,4.071538,128,31.437754
fifo_w0,route1,fifo,0,6,7,A,fifo_7,0.000,18,18,0,0,4.052784,4.052784,128,31.583229
fifo_w0,route1,fifo,0,7,8,A,fifo_8,0.000,20,20,0,0,4.063182,4.063182,128,31.502405
fifo_w0,route1,fifo,0,8,9,A,fifo_9,0.000,20,20,0,0,4.045948,4.045948,128,31.636594
fifo_w0,route1,fifo,0,9,10,A,fifo_10,0.000,20,20,0,0,4.033015,4.033015,128,31.738042
fifo_w0,route1,fifo,0,10,11,B,fifo_11,0.000,21,21,0,0,3.869649,3.869649,128,33.077938
fifo_w0,route1,fifo,0,11,12,B,fifo_12,0.000,21,21,0,0,3.862736,3.862736,128,33.137133
fifo_w0,route1,fifo,0,12,13,B,fifo_13,0.000,19,19,0,0,3.857788,3.857788,128,33.179632
fifo_w0,route1,fifo,0,13,14,B,fifo_14,0.000,19,19,0,0,3.853890,3.853890,128,33.213192
fifo_w0,route1,fifo,0,14,15,B,fifo_15,0.000,21,21,0,0,3.869052,3.869052,128,33.083041
fifo_w0,route1,fifo,0,15,16,B,fifo_16,0.000,21,21,0,0,3.863594,3.863594,128,33.129775
fifo_w0,route1,fifo,0,16,17,B,fifo_17,0.000,21,21,0,0,3.845156,3.845156,128,33.288638
fifo_w0,route1,fifo,0,17,18,B,fifo_18,0.000,21,21,0,0,3.851592,3.851592,128,33.233011
fifo_w0,route1,fifo,0,18,19,B,fifo_19,0.000,21,21,0,0,3.834888,3.834888,128,33.377771
fifo_w0,route1,fifo,0,19,20,B,fifo_20,0.000,21,21,0,0,3.850861,3.850861,128,33.239322
fifo_w0,route1,fifo,0,20,21,C,fifo_21,0.000,24,24,0,0,4.021255,4.021255,128,31.830858
fifo_w0,route1,fifo,0,21,22,C,fifo_22,0.000,23,23,0,0,4.033177,4.033177,128,31.736770
fifo_w0,route1,fifo,0,22,23,C,fifo_23,0.000,24,24,0,0,4.018314,4.018314,128,31.854152
fifo_w0,route1,fifo,0,23,24,C,fifo_24,0.000,23,23,0,0,4.014333,4.014333,128,31.885746
fifo_w0,route1,fifo,0,24,25,C,fifo_25,0.000,21,21,0,0,4.021921,4.021921,128,31.825591
fifo_w0,route1,fifo,0,25,26,C,fifo_26,0.000,24,24,0,0,4.013766,4.013766,128,31.890248
fifo_w0,route1,fifo,0,26,27,C,fifo_27,0.000,23,23,0,0,3.995740,3.995740,128,32.034118
fifo_w0,route1,fifo,0,27,28,C,fifo_28,0.000,24,24,0,0,3.999643,3.999643,128,32.002860
fifo_w0,route1,fifo,0,28,29,C,fifo_29,0.000,23,23,0,0,4.009110,4.009110,128,31.927289
fifo_w0,route1,fifo,0,29,30,C,fifo_30,0.000,21,21,0,0,3.991362,3.991362,128,32.069251
fifo_w0,route1,fifo,0,30,31,D,fifo_31,0.000,22,22,0,0,4.168621,4.168621,128,30.705597
fifo_w0,route1,fifo,0,31,32,D,fifo_32,0.000,23,23,0,0,4.176844,4.176844,128,30.645144
fifo_w0,route1,fifo,0,32,33,D,fifo_33,0.000,22,22,0,0,3.935047,3.935047,121,30.749311
fifo_w0,route1,fifo,0,33,34,D,fifo_34,0.000,20,20,0,0,4.163204,4.163204,128,30.745547
fifo_w0,route1,fifo,0,34,35,D,fifo_35,0.000,22,22,0,0,4.172341,4.172341,128,30.678220
fifo_w0,route1,fifo,0,35,36,D,fifo_36,0.000,22,22,0,0,3.890455,3.890455,121,31.101759
fifo_w0,route1,fifo,0,36,37,D,fifo_37,0.000,25,24,0,0,4.171387,4.171387,128,30.685234
fifo_w0,route1,fifo,0,37,38,D,fifo_38,0.000,22,22,0,0,4.159422,4.159422,128,30.773506
fifo_w0,route1,fifo,0,38,39,D,fifo_39,0.000,22,22,0,0,4.168230,4.168230,128,30.708479
fifo_w0,route1,fifo,0,39,40,D,fifo_40,0.000,20,20,0,0,4.148688,4.148688,128,30.853125
fifo_w0,route1,fifo,0,40,41,E,fifo_41,0.000,20,20,0,0,4.135038,4.135038,128,30.954976
fifo_w0,route1,fifo,0,41,42,E,fifo_42,0.000,18,18,0,0,4.126919,4.126919,128,31.015877
fifo_w0,route1,fifo,0,42,43,E,fifo_43,0.000,18,18,0,0,4.194835,4.194835,128,30.513714
fifo_w0,route1,fifo,0,43,44,E,fifo_44,0.000,20,20,0,0,4.188315,4.188315,128,30.561216
fifo_w0,route1,fifo,0,44,45,E,fifo_45,0.000,21,21,0,0,4.191572,4.191572,128,30.537472
fifo_w0,route1,fifo,0,45,46,E,fifo_46,0.000,21,21,0,0,4.191563,4.191563,128,30.537537
fifo_w0,route1,fifo,0,46,47,E,fifo_47,0.000,20,20,0,0,4.191406,4.191406,128,30.538678
fifo_w0,route1,fifo,0,47,48,E,fifo_48,0.000,20,20,0,0,4.191342,4.191342,128,30.539142
fifo_w0,route1,fifo,0,48,49,E,fifo_49,0.000,21,21,0,0,4.190206,4.190206,128,30.547423
fifo_w0,route1,fifo,0,49,50,E,fifo_50,0.000,23,23,0,0,4.190234,4.190234,128,30.547217
