scenario,route,grouping,window_ms,order_index,req_id,prefix_type,group_key,schedule_wait_ms,prompt_tokens,prefix_tokens,reused_tokens,reuse_hit,model_latency_s,total_latency_s,output_tokens,throughput_tokens_per_s
fifo_w0,route1,fifo,0,0,1,A,fifo_1,0.000,18,18,0,0,3.568766,3.568766,128,35.866735
fifo_w0,route1,fifo,0,1,2,A,fifo_2,0.000,21,21,0,0,3.569187,3.569187,128,35.862511
fifo_w0,route1,fifo,0,2,3,A,fifo_3,0.000,21,21,0,0,3.569336,3.569336,128,35.861015
fifo_w0,route1,fifo,0,3,4,A,fifo_4,0.000,23,23,0,0,3.430420,3.430420,128,37.313214
fifo_w0,route1,fifo,0,4,5,A,fifo_5,0.000,20,20,0,0,3.430601,3.430601,128,37.311245
fifo_w0,route1,fifo,0,5,6,A,fifo_6,0.000,23,23,0,0,3.430800,3.430800,128,37.309079
fifo_w0,route1,fifo,0,6,7,A,fifo_7,0.000,18,18,0,0,3.433928,3.433928,128,37.275101
fifo_w0,route1,fifo,0,7,8,A,fifo_8,0.000,20,20,0,0,3.433687,3.433687,128,37.277711
fifo_w0,route1,fifo,0,8,9,A,fifo_9,0.000,20,20,0,0,3.433428,3.433428,128,37.280530
fifo_w0,route1,fifo,0,9,10,A,fifo_10,0.000,20,20,0,0,3.424588,3.424588,128,37.376763
fifo_w0,route1,fifo,0,10,11,B,fifo_11,0.000,21,21,0,0,3.426325,3.426325,128,37.357814
fifo_w0,route1,fifo,0,11,12,B,fifo_12,0.000,21,21,0,0,3.422870,3.422870,128,37.395516
fifo_w0,route1,fifo,0,12,13,B,fifo_13,0.000,19,19,0,0,3.427593,3.427593,128,37.343993
fifo_w0,route1,fifo,0,13,14,B,fifo_14,0.000,19,19,0,0,3.423544,3.423544,128,37.388153
fifo_w0,route1,fifo,0,14,15,B,fifo_15,0.000,21,21,0,0,3.420005,3.420005,128,37.426847
fifo_w0,route1,fifo,0,15,16,B,fifo_16,0.000,21,21,0,0,3.781790,3.781790,128,33.846402
fifo_w0,route1,fifo,0,16,17,B,fifo_17,0.000,21,21,0,0,3.777899,3.777899,128,33.881266
fifo_w0,route1,fifo,0,17,18,B,fifo_18,0.000,21,21,0,0,3.780097,3.780097,128,33.861565
fifo_w0,route1,fifo,0,18,19,B,fifo_19,0.000,21,21,0,0,3.848588,3.848588,128,33.258952
fifo_w0,route1,fifo,0,19,20,B,fifo_20,0.000,21,21,0,0,3.844116,3.844116,128,33.297646
fifo_w0,route1,fifo,0,20,21,C,fifo_21,0.000,24,24,0,0,3.839209,3.839209,128,33.340205
fifo_w0,route1,fifo,0,21,22,C,fifo_22,0.000,23,23,0,0,3.905191,3.905191,128,32.776882
fifo_w0,route1,fifo,0,22,23,C,fifo_23,0.000,24,24,0,0,3.905378,3.905378,128,32.775320
fifo_w0,route1,fifo,0,23,24,C,fifo_24,0.000,23,23,0,0,3.905532,3.905532,128,32.774026
fifo_w0,route1,fifo,0,24,25,C,fifo_25,0.000,21,21,0,0,3.805378,3.805378,128,33.636610
fifo_w0,route1,fifo,0,25,26,C,fifo_26,0.000,24,24,0,0,3.804656,3.804656,128,33.642991
fifo_w0,route1,fifo,0,26,27,C,fifo_27,0.000,23,23,0,0,3.804591,3.804591,128,33.643565
fifo_w0,route1,fifo,0,27,28,C,fifo_28,0.000,24,24,0,0,4.327348,4.327348,128,29.579321
fifo_w0,route1,fifo,0,28,29,C,fifo_29,0.000,23,23,0,0,4.318822,4.318822,128,29.637710
fifo_w0,route1,fifo,0,29,30,C,fifo_30,0.000,21,21,0,0,4.319224,4.319224,128,29.634953
fifo_w0,route1,fifo,0,30,31,D,fifo_31,0.000,22,22,0,0,3.968042,3.968042,128,32.257726
fifo_w0,route1,fifo,0,31,32,D,fifo_32,0.000,23,23,0,0,3.931833,3.931833,128,32.554793
fifo_w0,route1,fifo,0,32,33,D,fifo_33,0.000,22,22,0,0,3.744240,3.744240,121,32.316301
fifo_w0,route1,fifo,0,33,34,D,fifo_34,0.000,20,20,0,0,4.017681,4.017681,128,31.859178
fifo_w0,route1,fifo,0,34,35,D,fifo_35,0.000,22,22,0,0,4.027467,4.027467,128,31.781760
fifo_w0,route1,fifo,0,35,36,D,fifo_36,0.000,22,22,0,0,3.803666,3.803666,121,31.811416
