scenario,route,grouping,window_ms,order_index,req_id,prefix_type,group_key,schedule_wait_ms,prompt_tokens,prefix_tokens,reused_tokens,reuse_hit,model_latency_s,total_latency_s,output_tokens,throughput_tokens_per_s
fifo_w0,route1,fifo,0,0,1,A,fifo_1,0.000,18,18,0,0,3.941909,3.941909,128,32.471575
fifo_w0,route1,fifo,0,1,2,A,fifo_2,0.000,21,21,0,0,3.905075,3.905075,128,32.777857
fifo_w0,route1,fifo,0,2,3,A,fifo_3,0.000,21,21,0,0,3.910554,3.910554,128,32.731933
fifo_w0,route1,fifo,0,3,4,A,fifo_4,0.000,23,23,0,0,3.899910,3.899910,128,32.821267
fifo_w0,route1,fifo,0,4,5,A,fifo_5,0.000,20,20,0,0,3.895510,3.895510,128,32.858343
fifo_w0,route1,fifo,0,5,6,A,fifo_6,0.000,23,23,0,0,3.903278,3.903278,128,32.792950
fifo_w0,route1,fifo,0,6,7,A,fifo_7,0.000,18,18,0,0,3.928139,3.928139,128,32.585408
fifo_w0,route1,fifo,0,7,8,A,fifo_8,0.000,20,20,0,0,3.984102,3.984102,128,32.127693
fifo_w0,route1,fifo,0,8,9,A,fifo_9,0.000,20,20,0,0,3.637180,3.637180,128,35.192103
fifo_w0,route1,fifo,0,9,10,A,fifo_10,0.000,20,20,0,0,3.785027,3.785027,128,33.817459
fifo_w0,route1,fifo,0,10,11,B,fifo_11,0.000,21,21,0,0,3.932312,3.932312,128,32.550825
fifo_w0,route1,fifo,0,11,12,B,fifo_12,0.000,21,21,0,0,3.984783,3.984783,128,32.122200
fifo_w0,route1,fifo,0,12,13,B,fifo_13,0.000,19,19,0,0,3.941924,3.941924,128,32.471453
fifo_w0,route1,fifo,0,13,14,B,fifo_14,0.000,19,19,0,0,4.053234,4.053234,128,31.579721
fifo_w0,route1,fifo,0,14,15,B,fifo_15,0.000,21,21,0,0,4.002905,4.002905,128,31.976777
fifo_w0,route1,fifo,0,15,16,B,fifo_16,0.000,21,21,0,0,3.314481,3.314481,128,38.618413
fifo_w0,route1,fifo,0,16,17,B,fifo_17,0.000,21,21,0,0,3.733843,3.733843,128,34.281031
fifo_w0,route1,fifo,0,17,18,B,fifo_18,0.000,21,21,0,0,4.147467,4.147467,128,30.862213
fifo_w0,route1,fifo,0,18,19,B,fifo_19,0.000,21,21,0,0,3.628879,3.628879,128,35.272605
fifo_w0,route1,fifo,0,19,20,B,fifo_20,0.000,21,21,0,0,3.721702,3.721702,128,34.392867
fifo_w0,route1,fifo,0,20,21,C,fifo_21,0.000,24,24,0,0,3.752209,3.752209,128,34.113240
fifo_w0,route1,fifo,0,21,22,C,fifo_22,0.000,23,23,0,0,3.540652,3.540652,128,36.151532
fifo_w0,route1,fifo,0,22,23,C,fifo_23,0.000,24,24,0,0,3.321139,3.321139,128,38.541000
fifo_w0,route1,fifo,0,23,24,C,fifo_24,0.000,23,23,0,0,3.633580,3.633580,128,35.226967
fifo_w0,route1,fifo,0,24,25,C,fifo_25,0.000,21,21,0,0,3.730790,3.730790,128,34.309084
fifo_w0,route1,fifo,0,25,26,C,fifo_26,0.000,24,24,0,0,3.753510,3.753510,128,34.101418
fifo_w0,route1,fifo,0,26,27,C,fifo_27,0.000,23,23,0,0,3.762874,3.762874,128,34.016548
fifo_w0,route1,fifo,0,27,28,C,fifo_28,0.000,24,24,0,0,3.753329,3.753329,128,34.103058
fifo_w0,route1,fifo,0,28,29,C,fifo_29,0.000,23,23,0,0,3.773827,3.773827,128,33.917828
fifo_w0,route1,fifo,0,29,30,C,fifo_30,0.000,21,21,0,0,3.767926,3.767926,128,33.970941
fifo_w0,route1,fifo,0,30,31,D,fifo_31,0.000,22,22,0,0,3.781102,3.781102,128,33.852567
fifo_w0,route1,fifo,0,31,32,D,fifo_32,0.000,23,23,0,0,3.458558,3.458558,128,37.009649
fifo_w0,route1,fifo,0,32,33,D,fifo_33,0.000,22,22,0,0,3.158346,3.158346,121,38.311190
fifo_w0,route1,fifo,0,33,34,D,fifo_34,0.000,20,20,0,0,3.312018,3.312018,128,38.647130
fifo_w0,route1,fifo,0,34,35,D,fifo_35,0.000,22,22,0,0,3.312636,3.312636,128,38.639926
fifo_w0,route1,fifo,0,35,36,D,fifo_36,0.000,22,22,0,0,3.169179,3.169179,121,38.180240
fifo_w0,route1,fifo,0,36,37,D,fifo_37,0.000,25,24,0,0,3.564212,3.564212,128,35.912568
fifo_w0,route1,fifo,0,37,38,D,fifo_38,0.000,22,22,0,0,3.718407,3.718407,128,34.423342
fifo_w0,route1,fifo,0,38,39,D,fifo_39,0.000,22,22,0,0,3.798953,3.798953,128,33.693496
