mode,count,latency_mean_s,latency_p50_s,latency_p90_s,latency_min_s,latency_max_s,throughput_tokens_per_s_mean,output_tokens_mean
shared_prefix,50,3.36461548,3.7473219999999996,3.9299828000000003,1.21114,4.206038,34.1192086,114.74
unique_prefix,50,3.75402862,3.800695,3.939775,3.309958,4.135906,34.20956984,128.0
