scenario,runs,latency_mean_avg_s,latency_mean_std_s,latency_p90_avg_s,throughput_avg,reuse_ratio_avg,improve_vs_fifo_pct_avg,improve_vs_fifo_pct_std
fifo_w0,4,3.851112,0.11153729973421475,4.1267745,32.787107,0.0,0.0,0.0
exact_w0,4,3.6964465,0.1489392927661021,3.9720695,34.024473,0.357789,3.9598859421521797,4.624163320491097
similarity_w0,4,3.71244175,0.07376176041994938,3.9819257500000003,33.82059575,0.388757,3.558570806939348,2.555009627960196
similarity_window_50ms,4,3.785302,0.22969306710187545,4.04678975,33.187137,0.388757,1.7455172348778298,4.180561514001508
similarity_window_100ms,4,3.7935772500000002,0.24456754162177125,4.05839625,33.16163125,0.388757,1.5427441883335562,4.361965048924027
